"","yardline_100","quarter_seconds_remaining","goal_to_go","ydstogo","ydsnet","yards_gained","shotgun","no_huddle","air_yards","yards_after_catch","score_differential","first_down_pass","interception","jax_score","opp_score","jax_timeouts_remaining","opp_timeouts_remaining","side_of_field_MID","side_of_field_OPP","qtr_2","qtr_3","qtr_4","down_2","down_3","down_4","pass_length_short","pass_location_middle","pass_location_right","td_team_1","td_team_2"
"6",0.0824742268041237,0.60467706013363,0,0.0606060606060606,0.778846153846154,0.0666666666666667,1,0,0.290322580645161,0.0340909090909091,0.471698113207547,0,0,0,0.155555555555556,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"12",0.0824742268041237,0.643652561247216,1,0.242424242424242,0.759615384615385,0.0666666666666667,1,0,0.290322580645161,0.0340909090909091,0.471698113207547,0,0,0.263157894736842,0.377777777777778,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"13",0.0618556701030928,0.585746102449889,1,0.181818181818182,0.759615384615385,0.0666666666666667,1,0,0.145161290322581,0.0340909090909091,0.471698113207547,0,0,0.263157894736842,0.377777777777778,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
"19",0.278350515463918,0.0478841870824053,0,0.181818181818182,0.557692307692308,0.0666666666666667,1,0,0.5,0.0340909090909091,0.471698113207547,0,0,0.342105263157895,0.444444444444444,0.666666666666667,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",0.278350515463918,0.0345211581291759,0,0.181818181818182,0.557692307692308,0.0666666666666667,1,0,0.467741935483871,0.0340909090909091,0.471698113207547,0,0,0.342105263157895,0.444444444444444,0.666666666666667,1,0,0,1,0,0,0,1,0,0,1,0,0,0
"24",0.257731958762887,0.28173719376392,0,0.272727272727273,0.682692307692308,0.0666666666666667,1,0,0.241935483870968,0.0340909090909091,0.528301886792453,0,0,0.342105263157895,0.511111111111111,0.666666666666667,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"26",0,0.203786191536748,1,0,0.682692307692308,0.0555555555555556,1,0,0.0967741935483871,0.0568181818181818,0.528301886792453,0,0,0.342105263157895,0.511111111111111,0.666666666666667,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"28",0.164948453608247,0.805122494432071,0,0,0.75,0.0666666666666667,1,0,0.145161290322581,0.0340909090909091,0.660377358490566,0,0,0.342105263157895,0.666666666666667,0.666666666666667,1,0,0,0,0,1,1,0,0,1,0,1,0,0
"32",0.515463917525773,0.374164810690423,0,0.424242424242424,0.0576923076923077,0.0666666666666667,1,0,0.145161290322581,0.0340909090909091,0.679245283018868,0,0,0.5,0.822222222222222,0.666666666666667,1,0,1,0,0,1,0,1,0,1,0,0,0,0
"33",0.164948453608247,0.243875278396437,0,0.424242424242424,0.0576923076923077,0.0666666666666667,1,0,0.0806451612903226,0.0340909090909091,0.679245283018868,0,0,0.5,0.822222222222222,0.666666666666667,0.666666666666667,0,0,0,0,1,0,1,0,1,0,0,0,0
"34",0.783505154639175,0.766146993318486,0,0.0909090909090909,0.192307692307692,0.0666666666666667,0,0,0.241935483870968,0.0340909090909091,0.339622641509434,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
"39",0.618556701030928,0.412026726057906,0,0.272727272727273,0.788461538461538,0.0666666666666667,0,0,0.693548387096774,0.0340909090909091,0.339622641509434,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"43",0.257731958762887,0.188195991091314,0,0.272727272727273,0.788461538461538,0.0666666666666667,1,0,0.548387096774194,0.0340909090909091,0.339622641509434,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"44",0.206185567010309,0.133630289532294,0,0.121212121212121,0.788461538461538,0.0666666666666667,1,0,0.483870967741935,0.0340909090909091,0.339622641509434,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"46",0.701030927835051,0.785077951002227,0,0.424242424242424,0.326923076923077,0.0666666666666667,1,0,0.5,0.0340909090909091,0.39622641509434,0,0,0,0.0666666666666667,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"47",0.680412371134021,0.629175946547884,0,0.272727272727273,0.0288461538461538,0.0666666666666667,0,0,0.935483870967742,0.0340909090909091,0.39622641509434,0,0,0,0.0666666666666667,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0
"48",0.618556701030928,0.146993318485523,0,0.272727272727273,0.788461538461538,0.0555555555555556,1,0,0.112903225806452,0.0454545454545455,0.339622641509434,0,0,0.0789473684210526,0.0666666666666667,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0
"50",0.463917525773196,0.05456570155902,0,0.121212121212121,0.788461538461538,0.0666666666666667,1,0,0.548387096774194,0.0340909090909091,0.339622641509434,0,0,0.0789473684210526,0.0666666666666667,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"53",0.0309278350515464,0.00779510022271715,1,0.0909090909090909,0.788461538461538,0.0666666666666667,1,0,0.209677419354839,0.0340909090909091,0.339622641509434,0,0,0.0789473684210526,0.0666666666666667,1,0.666666666666667,0,0,1,0,0,0,0,0,1,0,1,0,0
"56",0.77319587628866,0.514476614699332,0,0.272727272727273,0.25,0.0666666666666667,1,0,0.403225806451613,0.0340909090909091,0.39622641509434,0,0,0.0789473684210526,0.133333333333333,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
"57",0.742268041237113,0.459910913140312,0,0.181818181818182,0.25,0.0666666666666667,1,0,0.209677419354839,0.0340909090909091,0.39622641509434,0,0,0.0789473684210526,0.133333333333333,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0
"58",0.793814432989691,0.956570155902004,0,0.393939393939394,0.394230769230769,0.0666666666666667,1,0,0.306451612903226,0.0340909090909091,0.39622641509434,0,0,0.0789473684210526,0.133333333333333,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0
"60",0.103092783505155,0.865256124721604,0,0.272727272727273,0.211538461538462,0.0666666666666667,0,0,0.193548387096774,0.0340909090909091,0.39622641509434,0,0,0.0789473684210526,0.133333333333333,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
