"","side_of_field","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","drive","qtr","down","goal_to_go","ydstogo","ydsnet","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","td_team","score_differential","jax_score","opp_score","jax_timeouts_remaining","opp_timeouts_remaining","offensive_play"
"14921","JAX",75,515,1415,1415,"Half2",15,3,2,0,10,61,9,0,0,1,0,"short","left",2,7,"0",-3,3,6,2,3,1
"14922","JAX",66,470,1370,1370,"Half2",15,3,3,0,1,61,23,1,0,1,0,"short","right",4,19,"0",-3,3,6,2,3,1
"14927","OPP",18,324,1224,1224,"Half2",15,3,1,0,10,61,5,0,0,1,0,"short","middle",0,5,"0",-3,3,6,2,3,1
"14929","OPP",10,236,1136,1136,"Half2",15,3,3,0,2,61,-4,1,0,1,0,NA,NA,NA,-1,"0",-3,3,6,2,3,1
"14933","OPP",85,164,1064,1064,"Half2",16,3,1,0,20,75,26,0,0,1,0,"short","left",14,12,"0",0,6,6,2,3,0
"14935","OPP",54,80,980,980,"Half2",16,3,2,0,5,75,6,1,0,1,0,"short","left",3,3,"0",0,6,6,2,3,0
"14938","JAX",44,900,900,900,"Half2",16,4,2,0,6,75,0,1,0,1,0,"short","left",3,-1,"0",0,6,6,2,3,0
"14940","JAX",25,873,873,873,"Half2",16,4,1,0,10,75,5,1,0,1,0,"short","middle",5,0,"0",0,6,6,2,3,0
"14941","JAX",20,835,835,835,"Half2",16,4,2,0,5,75,12,1,0,1,0,"short","left",5,7,"0",0,6,6,2,3,0
"14943","JAX",13,744,744,744,"Half2",16,4,2,1,13,75,9,0,0,1,0,"short","right",2,7,"0",0,6,6,2,3,0
"14945","JAX",4,713,713,713,"Half2",16,4,3,1,4,75,4,1,0,1,0,"short","middle",0,4,"2",0,6,12,2,3,0
"14950","JAX",58,666,666,666,"Half2",17,4,1,0,10,35,0,1,0,1,0,"deep","left",16,-1,"0",-7,6,13,1,3,1
"14951","JAX",58,661,661,661,"Half2",17,4,2,0,10,35,10,1,0,1,0,"short","left",-5,15,"0",-7,6,13,1,3,1
"14953","JAX",56,609,609,609,"Half2",17,4,1,0,18,35,0,1,0,1,0,"short","middle",0,-1,"0",-7,6,13,1,3,1
"14954","JAX",56,604,604,604,"Half2",17,4,2,0,18,35,0,1,0,1,0,"short","left",6,-1,"0",-7,6,13,1,3,1
"14955","JAX",56,600,600,600,"Half2",17,4,3,0,18,35,16,1,0,1,0,"short","middle",15,1,"0",-7,6,13,1,3,1
"14956","OPP",40,555,555,555,"Half2",17,4,4,0,2,35,0,1,0,1,0,"short","middle",6,-1,"0",-7,6,13,1,3,1
"14958","OPP",56,511,511,511,"Half2",18,4,2,0,6,-2,0,1,0,1,0,"short","middle",4,-1,"0",7,6,13,1,3,0
"14959","OPP",56,507,507,507,"Half2",18,4,3,0,6,-2,-6,1,0,1,0,NA,NA,NA,-1,"0",7,6,13,1,3,0
"14963","JAX",84,376,376,376,"Half2",19,4,3,0,5,5,0,1,0,1,0,"short","right",2,-1,"0",-7,6,13,1,3,1
"14966","OPP",54,327,327,327,"Half2",20,4,2,0,4,51,7,1,0,1,0,"short","middle",4,3,"0",7,6,13,1,3,0
"14970","JAX",38,199,199,199,"Half2",20,4,3,0,1,51,20,0,0,1,0,"short","left",8,12,"0",7,6,13,1,2,0
"16748","JAX",75,900,1800,3600,"Half1",1,1,1,0,10,74,14,1,0,1,0,"short","right",6,8,"0",0,0,0,3,3,1
"16749","JAX",61,869,1769,3569,"Half1",1,1,1,0,10,74,8,0,0,1,0,"short","left",2,6,"0",0,0,0,3,3,1
"16752","OPP",39,762,1662,3462,"Half1",1,1,2,0,15,74,29,1,0,1,0,"deep","right",20,9,"0",0,0,0,3,3,1
"16754","OPP",13,686,1586,3386,"Half1",1,1,2,1,13,74,0,1,0,1,0,"short","middle",0,-1,"0",0,0,0,3,3,1
"16755","OPP",13,682,1582,3382,"Half1",1,1,3,1,13,74,12,1,0,1,0,"short","middle",0,12,"0",0,0,0,3,3,1
"16758","OPP",95,602,1502,3302,"Half1",2,1,2,0,6,6,5,0,0,1,0,"short","right",0,5,"0",0,0,0,3,3,0
"16763","JAX",85,454,1354,3154,"Half1",3,1,2,0,18,-13,0,1,0,1,0,"short","middle",0,-1,"0",0,0,0,3,3,1
"16764","JAX",85,449,1349,3149,"Half1",3,1,3,0,18,-13,-5,1,0,1,0,NA,NA,NA,-1,"0",0,0,0,3,3,1
"16766","OPP",53,394,1294,3094,"Half1",4,1,1,0,10,12,12,1,0,1,0,"short","middle",1,11,"0",0,0,0,3,3,0
"16767","JAX",41,365,1265,3065,"Half1",4,1,1,0,10,12,0,1,0,1,0,"short","left",0,-1,"0",0,0,0,3,3,0
"16768","JAX",41,361,1261,3061,"Half1",4,1,2,0,10,12,0,1,0,1,0,"short","right",0,-1,"0",0,0,0,3,3,0
"16769","JAX",41,358,1258,3058,"Half1",4,1,3,0,10,12,0,1,0,1,0,"short","middle",0,-1,"0",0,0,0,3,3,0
"16772","JAX",97,306,1206,3006,"Half1",5,1,2,0,10,-2,4,1,0,1,0,"short","middle",4,0,"0",0,0,0,3,3,1
"16773","JAX",93,261,1161,2961,"Half1",5,1,3,0,6,-2,-6,1,0,1,0,NA,NA,NA,-1,"0",0,0,0,3,3,1
"16777","MID",50,133,1033,2833,"Half1",6,1,3,0,17,-7,0,1,0,1,0,"short","middle",0,-1,"0",0,0,0,3,3,0
"16784","OPP",43,868,868,2668,"Half1",7,2,1,0,10,59,0,0,0,1,0,"short","left",0,-1,"0",0,0,0,3,3,1
"16786","OPP",40,823,823,2623,"Half1",7,2,3,0,7,59,0,1,0,1,0,"short","left",0,-1,"0",0,0,0,3,3,1
"16790","OPP",86,728,728,2528,"Half1",8,2,3,0,8,2,0,1,0,1,0,"short","right",0,-1,"0",0,0,0,3,3,0
"16795","JAX",57,588,588,2388,"Half1",9,2,2,0,6,69,7,1,0,1,0,"short","right",2,5,"0",0,0,0,3,3,1
"16798","OPP",41,476,476,2276,"Half1",9,2,3,0,1,69,33,1,0,1,0,"deep","right",16,17,"0",0,0,0,3,2,1
"16799","OPP",8,438,438,2238,"Half1",9,2,1,1,8,69,0,0,0,1,0,"short","left",0,-1,"0",0,0,0,3,2,1
"16801","OPP",3,400,400,2200,"Half1",9,2,3,1,3,69,0,1,0,1,0,"short","middle",0,-1,"0",0,0,0,3,2,1
"16805","OPP",74,365,365,2165,"Half1",10,2,2,0,9,25,0,1,1,1,0,"short","middle",0,-1,"0",-3,3,0,3,2,0
"16807","OPP",56,352,352,2152,"Half1",10,2,1,0,10,25,0,0,0,1,0,"deep","middle",41,-1,"0",-3,3,0,3,2,0
"16808","OPP",56,346,346,2146,"Half1",10,2,2,0,10,25,0,1,0,1,0,"short","left",0,-1,"0",-3,3,0,3,2,0
"16809","OPP",56,343,343,2143,"Half1",10,2,3,0,10,25,6,1,0,1,0,"short","left",0,6,"0",-3,3,0,3,2,0
"16813","JAX",75,225,225,2025,"Half1",11,2,1,0,10,38,14,0,0,1,0,"short","left",0,14,"0",3,3,0,3,2,1
"16814","JAX",61,190,190,1990,"Half1",11,2,1,0,10,38,0,0,0,1,0,"short","right",0,-1,"0",3,3,0,3,2,1
"16816","JAX",53,145,145,1945,"Half1",11,2,3,0,2,38,0,1,0,1,0,"short","left",8,-1,"0",3,3,0,3,2,1
"16818","OPP",80,134,134,1934,"Half1",12,2,1,0,10,80,12,0,0,1,0,"short","right",0,12,"0",-3,3,0,3,2,0
"16820","OPP",68,120,120,1920,"Half1",12,2,1,0,10,80,48,1,0,1,0,"deep","middle",16,32,"0",-3,3,0,3,2,0
"16825","JAX",28,102,102,1902,"Half1",12,2,2,0,18,80,27,1,0,1,0,"short","right",8,19,"0",-3,3,0,2,2,0
"16828","JAX",2,87,87,1887,"Half1",12,2,2,1,2,80,2,1,0,1,0,"short","right",0,2,"2",-3,3,6,1,2,0
"16831","JAX",75,85,85,1885,"Half1",13,2,1,0,10,64,7,1,0,1,0,"short","left",6,1,"0",-4,3,7,1,2,1
"16832","JAX",68,57,57,1857,"Half1",13,2,2,0,3,64,29,1,0,1,0,"deep","middle",18,11,"0",-4,3,7,1,2,1
"16834","OPP",39,47,47,1847,"Half1",13,2,1,0,10,64,0,1,0,1,0,"short","middle",0,-1,"0",-4,3,7,0,2,1
"16835","OPP",39,42,42,1842,"Half1",13,2,2,0,10,64,0,1,0,1,0,"short","left",4,-1,"0",-4,3,7,0,2,1
"16837","OPP",44,38,38,1838,"Half1",13,2,3,0,15,64,33,1,0,1,0,"deep","right",30,3,"0",-4,3,7,0,2,1
"16839","OPP",11,18,18,1818,"Half1",13,2,2,0,10,64,0,1,0,1,0,"short","right",0,-1,"0",-4,3,7,0,2,1
"16840","OPP",11,11,11,1811,"Half1",13,2,3,0,10,64,0,1,0,1,0,"short","middle",0,-1,"0",-4,3,7,0,2,1
"16843","OPP",51,3,3,1803,"Half1",14,2,1,0,10,0,0,1,0,1,0,"deep","middle",51,-1,"0",1,6,7,0,2,0
"16847","OPP",74,868,1768,1768,"Half2",15,3,2,0,9,28,0,1,0,1,0,"deep","left",32,-1,"0",1,6,7,3,3,0
"16848","OPP",74,863,1763,1763,"Half2",15,3,3,0,9,28,33,1,0,1,0,"deep","right",33,0,"0",1,6,7,3,3,0
"16851","OPP",53,809,1709,1709,"Half2",15,3,2,0,22,28,6,1,0,1,0,"short","left",-1,7,"0",1,6,7,3,3,0
"16856","OPP",46,648,1548,1548,"Half2",16,3,1,0,10,38,0,1,0,1,0,"deep","right",16,-1,"0",-1,6,7,3,3,1
"16859","OPP",31,567,1467,1467,"Half2",16,3,2,0,8,38,10,1,0,1,0,"short","left",0,10,"0",-1,6,7,3,3,1
"16866","OPP",75,371,1271,1271,"Half2",17,3,2,0,10,-11,0,0,0,1,0,"short","left",0,-1,"0",-2,9,7,3,3,0
"16867","OPP",75,364,1264,1264,"Half2",17,3,3,0,10,-11,-11,1,0,1,0,NA,NA,NA,-1,"0",-2,9,7,3,3,0
"16871","OPP",47,229,1129,1129,"Half2",18,3,3,0,9,1,0,1,0,1,0,"short","left",7,-1,"0",2,9,7,3,3,1
"16874","OPP",80,190,1090,1090,"Half2",19,3,1,0,10,72,0,1,0,1,0,"short","left",15,-1,"0",-2,9,7,3,3,0
"16875","OPP",80,186,1086,1086,"Half2",19,3,2,0,10,72,10,1,0,1,0,"short","right",10,0,"0",-2,9,7,3,3,0
"16877","OPP",75,139,1039,1039,"Half2",19,3,1,0,15,72,12,0,0,1,0,"short","right",0,12,"0",-2,9,7,3,3,0
"16878","OPP",63,119,1019,1019,"Half2",19,3,2,0,3,72,12,1,0,1,0,"short","middle",0,12,"0",-2,9,7,3,3,0
"16879","OPP",51,100,1000,1000,"Half2",19,3,1,0,10,72,8,0,0,1,0,"short","right",0,8,"0",-2,9,7,3,3,0
"16881","JAX",19,45,945,945,"Half2",19,3,2,0,1,72,0,1,0,1,0,"deep","right",19,-1,"0",-2,9,7,3,3,0
"16882","JAX",19,40,940,940,"Half2",19,3,3,0,1,72,0,1,0,1,0,"short","left",5,-1,"0",-2,9,7,3,3,0
"16887","JAX",55,900,900,900,"Half2",20,4,1,0,10,75,47,1,0,1,0,"short","middle",0,47,"0",-1,9,10,3,3,1
"16890","OPP",2,765,765,765,"Half2",20,4,3,1,2,75,2,1,0,1,0,"short","right",0,2,"1",-1,15,10,3,3,1
"16891","OPP",2,761,761,761,"Half2",20,4,NA,0,0,75,2,0,0,1,0,NA,NA,NA,-1,"0",5,17,10,3,3,1
"16894","OPP",80,730,730,730,"Half2",21,4,2,0,15,60,3,1,0,1,0,"short","right",0,3,"0",-7,17,10,3,3,0
"16897","OPP",60,654,654,654,"Half2",21,4,2,0,10,60,-7,1,0,1,0,NA,NA,NA,-1,"0",-7,17,10,3,3,0
"16898","OPP",67,612,612,612,"Half2",21,4,3,0,17,60,19,1,0,1,0,"short","left",0,19,"0",-7,17,10,3,3,0
"16899","JAX",33,596,596,596,"Half2",21,4,1,0,10,60,6,1,0,1,0,"short","middle",0,6,"0",-7,17,10,3,3,0
"16900","JAX",27,566,566,566,"Half2",21,4,2,0,4,60,0,1,0,1,0,"short","left",0,-1,"0",-7,17,10,3,3,0
"16901","JAX",27,562,562,562,"Half2",21,4,3,0,4,60,12,1,0,1,0,"short","middle",12,0,"0",-7,17,10,3,3,0
"16904","JAX",78,462,462,462,"Half2",22,4,2,0,7,14,6,1,0,1,0,"short","right",0,6,"0",7,17,10,3,3,1
"16906","JAX",70,375,375,375,"Half2",22,4,1,0,10,14,0,0,0,1,0,"deep","middle",40,-1,"0",7,17,10,3,3,1
"16908","JAX",67,323,323,323,"Half2",22,4,3,0,7,14,0,1,0,1,0,"short","left",7,-1,"0",7,17,10,3,3,1
"16910","OPP",77,311,311,311,"Half2",23,4,1,0,10,5,0,1,0,1,0,"short","right",7,-1,"0",-7,17,10,3,3,0
"16912","OPP",72,304,304,304,"Half2",23,4,1,0,10,5,0,1,0,1,0,"short","middle",0,0,"0",-7,17,10,3,3,0
"16913","OPP",72,265,265,265,"Half2",23,4,2,0,10,5,0,1,0,1,0,"short","left",-5,-1,"1",-7,23,10,3,3,0
"16916","JAX",41,250,250,250,"Half2",24,4,1,0,10,0,0,1,0,1,0,"short","right",13,-1,"0",-14,24,10,3,3,0
"16930","OPP",69,110,110,110,"Half2",26,4,1,0,10,69,0,1,0,1,0,"short","right",7,-1,"0",-17,27,10,3,0,0
"16931","OPP",69,106,106,106,"Half2",26,4,2,0,10,69,4,1,0,1,0,"short","right",7,-3,"0",-17,27,10,3,0,0
"16934","JAX",40,75,75,75,"Half2",26,4,1,0,10,69,15,1,0,1,0,"short","right",5,10,"0",-17,27,10,3,0,0
"16935","JAX",25,68,68,68,"Half2",26,4,1,0,10,69,4,0,0,1,0,"short","right",0,4,"0",-17,27,10,3,0,0
"16936","JAX",21,64,64,64,"Half2",26,4,2,0,6,69,20,1,0,1,0,"deep","right",20,0,"0",-17,27,10,3,0,0
"16938","JAX",1,31,31,31,"Half2",26,4,2,1,1,69,0,0,0,1,0,"short","middle",0,-1,"0",-17,27,10,3,0,0
"20435","JAX",77,895,1795,3595,"Half1",1,1,1,0,10,77,2,1,0,1,0,"short","left",-5,7,"0",0,0,0,3,3,1
"20438","OPP",6,763,1663,3463,"Half1",1,1,2,1,6,77,6,1,0,1,0,"short","middle",6,0,"1",0,6,0,3,3,1
"20441","OPP",93,752,1652,3452,"Half1",2,1,1,0,10,93,4,0,0,1,0,"short","middle",4,0,"0",-6,6,0,3,3,0
"20444","OPP",79,647,1547,3347,"Half1",2,1,1,0,10,93,23,1,0,1,0,"short","middle",15,8,"0",-6,6,0,3,3,0
"20445","OPP",56,607,1507,3307,"Half1",2,1,1,0,10,93,6,1,0,1,0,"short","left",4,2,"0",-6,6,0,3,3,0
"20448","OPP",60,528,1428,3228,"Half1",2,1,2,0,14,93,13,1,0,1,0,"short","right",7,6,"0",-6,6,0,3,3,0
"20451","JAX",45,406,1306,3106,"Half1",2,1,1,0,10,93,13,1,0,1,0,"short","left",2,11,"0",-6,6,0,3,3,0
"20452","JAX",32,374,1274,3074,"Half1",2,1,1,0,10,93,5,0,0,1,0,"short","right",5,0,"0",-6,6,0,3,3,0
"20454","JAX",24,301,1201,3001,"Half1",2,1,3,0,2,93,24,1,0,1,0,"short","right",1,23,"2",-6,6,6,3,3,0
"20457","JAX",79,283,1183,2983,"Half1",3,1,1,0,10,-7,0,0,0,1,0,NA,NA,NA,-1,"0",-1,6,7,3,3,1
"20459","JAX",89,216,1116,2916,"Half1",3,1,2,0,20,-7,0,1,0,1,0,"short","middle",13,-1,"0",-1,6,7,3,3,1
"20461","JAX",94,210,1110,2910,"Half1",3,1,3,0,25,-7,8,1,0,1,0,"short","right",4,4,"0",-1,6,7,3,3,1
"20463","MID",50,156,1056,2856,"Half1",4,1,1,0,10,16,16,1,0,1,0,"deep","middle",16,0,"0",1,6,7,3,3,0
"20464","JAX",34,129,1029,2829,"Half1",4,1,1,0,10,16,0,0,0,1,0,"short","left",7,-1,"0",1,6,7,3,3,0
"20466","JAX",70,84,984,2784,"Half1",5,1,2,0,7,73,70,1,0,1,0,"deep","middle",29,41,"1",-1,12,7,3,3,1
"20473","OPP",81,900,900,2700,"Half1",6,2,3,0,16,-13,-7,1,0,1,0,NA,NA,NA,-1,"0",-6,13,7,3,3,0
"20476","OPP",36,800,800,2600,"Half1",7,2,2,0,10,-1,0,1,0,1,0,"short","middle",10,-1,"0",6,13,7,3,3,1
"20477","OPP",36,795,795,2595,"Half1",7,2,3,0,10,-1,-1,1,0,1,0,NA,NA,NA,-1,"0",6,13,7,3,3,1
"20479","OPP",61,748,748,2548,"Half1",8,2,2,0,8,-2,0,1,0,1,0,"short","right",1,-1,"0",-6,13,7,3,3,0
"20480","OPP",61,743,743,2543,"Half1",8,2,3,0,8,-2,-4,1,0,1,0,NA,NA,NA,-1,"0",-6,13,7,3,3,0
"20483","JAX",95,671,671,2471,"Half1",9,2,2,0,10,84,6,1,0,1,0,"short","left",0,6,"0",6,13,7,3,3,1
"20484","JAX",89,631,631,2431,"Half1",9,2,3,0,4,84,29,1,0,1,0,"deep","right",26,3,"0",6,13,7,3,3,1
"20487","JAX",61,529,529,2329,"Half1",9,2,3,0,11,84,14,1,0,1,0,"short","left",14,0,"0",6,13,7,3,3,1
"20488","OPP",47,499,499,2299,"Half1",9,2,1,0,10,84,5,0,0,1,0,"short","right",1,4,"0",6,13,7,3,3,1
"20491","OPP",32,376,376,2176,"Half1",9,2,1,0,10,84,10,1,0,1,0,"short","right",-3,13,"0",6,13,7,3,3,1
"20495","OPP",18,255,255,2055,"Half1",9,2,3,0,6,84,11,1,0,1,0,"short","right",6,5,"0",6,13,7,3,3,1
"20497","OPP",6,210,210,2010,"Half1",9,2,2,1,6,84,0,1,0,1,0,"short","right",6,-1,"0",6,13,7,3,3,1
"20502","OPP",71,141,141,1941,"Half1",10,2,2,0,6,-10,0,1,0,1,0,"short","right",11,-1,"0",-9,16,7,3,3,0
"20504","OPP",76,136,136,1936,"Half1",10,2,3,0,11,-10,-9,1,0,1,0,NA,NA,NA,-1,"0",-9,16,7,3,3,0
"20508","JAX",61,80,80,1880,"Half1",11,2,2,0,7,39,8,1,0,1,0,"short","right",-2,10,"0",9,16,7,3,3,1
"20509","JAX",53,74,74,1874,"Half1",11,2,1,0,10,39,17,1,0,1,0,"short","left",14,3,"0",9,16,7,3,3,1
"20510","OPP",36,47,47,1847,"Half1",11,2,1,0,10,39,-2,1,0,1,0,"short","right",0,-2,"0",9,16,7,3,3,1
"20512","OPP",38,42,42,1842,"Half1",11,2,2,0,12,39,0,1,0,1,0,"short","right",10,-1,"0",9,16,7,3,2,1
"20513","OPP",38,38,38,1838,"Half1",11,2,3,0,12,39,13,1,0,1,0,"short","middle",10,3,"0",9,16,7,3,2,1
"20515","OPP",25,29,29,1829,"Half1",11,2,1,0,10,39,0,1,0,1,0,"short","left",8,-1,"0",9,16,7,2,2,1
"20516","OPP",25,25,25,1825,"Half1",11,2,2,0,10,39,0,1,0,1,0,"short","right",3,-1,"0",9,16,7,2,2,1
"20517","OPP",25,19,19,1819,"Half1",11,2,3,0,10,39,0,1,0,1,0,"short","left",6,-1,"0",9,16,7,2,2,1
"20523","OPP",75,900,1800,1800,"Half2",13,3,1,0,10,13,6,1,0,1,0,"short","right",5,1,"0",-12,19,7,3,3,0
"20525","OPP",66,825,1725,1725,"Half2",13,3,3,0,1,13,6,0,0,1,0,"short","right",5,1,"0",-12,19,7,3,3,0
"20526","OPP",60,783,1683,1683,"Half2",13,3,1,0,10,13,-4,0,0,1,0,NA,NA,NA,-1,"0",-12,19,7,3,3,0
"20527","OPP",64,740,1640,1640,"Half2",13,3,2,0,14,13,-8,1,0,1,0,NA,NA,NA,-1,"0",-12,19,7,3,3,0
"20528","OPP",72,695,1595,1595,"Half2",13,3,3,0,22,13,10,1,0,1,0,"short","right",-6,16,"0",-12,19,7,3,3,0
"20535","JAX",78,463,1363,1363,"Half2",14,3,2,0,19,7,0,1,0,1,0,"short","right",3,-1,"0",12,19,7,3,3,1
"20536","JAX",78,458,1358,1358,"Half2",14,3,3,0,19,7,6,1,0,1,0,"short","left",2,4,"0",12,19,7,3,3,1
"20538","OPP",67,413,1313,1313,"Half2",15,3,1,0,10,-3,0,1,0,1,0,"short","right",0,-1,"0",-12,19,7,3,3,0
"20540","OPP",64,371,1271,1271,"Half2",15,3,3,0,7,-3,-6,1,0,1,0,NA,NA,NA,-1,"0",-12,19,7,3,3,0
"20542","JAX",70,314,1214,1214,"Half2",16,3,1,0,10,64,4,0,0,1,0,"short","left",4,0,"0",12,19,7,3,3,1
"20545","OPP",45,208,1108,1108,"Half2",16,3,1,0,10,64,26,0,0,1,0,"short","middle",0,26,"0",12,19,7,3,3,1
"20547","OPP",6,146,1046,1046,"Half2",16,3,2,1,6,64,0,1,0,1,0,"short","right",6,-1,"0",12,19,7,3,3,1
"20548","OPP",6,139,1039,1039,"Half2",16,3,3,1,6,64,0,1,0,1,0,"short","middle",6,-1,"0",12,19,7,3,3,1
"20551","OPP",75,131,1031,1031,"Half2",17,3,1,0,10,75,16,0,0,1,0,"short","right",4,12,"0",-15,22,7,3,3,0
"20553","OPP",56,56,956,956,"Half2",17,3,2,0,7,75,9,1,0,1,0,"short","right",9,0,"0",-15,22,7,3,3,0
"20554","JAX",47,32,932,932,"Half2",17,3,1,0,10,75,8,1,0,1,0,"short","right",6,2,"0",-15,22,7,3,3,0
"20555","JAX",39,3,903,903,"Half2",17,3,2,0,2,75,6,1,0,1,0,"short","right",4,2,"0",-15,22,7,3,3,0
"20558","JAX",20,867,867,867,"Half2",17,4,1,0,10,75,-6,1,0,1,0,NA,NA,NA,-1,"0",-15,22,7,3,3,0
"20559","JAX",26,820,820,820,"Half2",17,4,2,0,16,75,23,1,0,1,0,"deep","right",23,0,"0",-15,22,7,2,3,0
"20560","JAX",3,793,793,793,"Half2",17,4,1,1,3,75,3,1,0,1,0,"short","left",3,0,"2",-15,22,13,2,3,0
"20561","JAX",2,787,787,787,"Half2",17,4,NA,0,0,75,2,0,0,1,0,NA,NA,NA,-1,"0",-9,22,15,2,3,0
"20565","JAX",62,714,714,714,"Half2",18,4,2,0,8,30,11,0,0,1,0,"short","right",5,6,"0",7,22,15,2,3,1
"20566","JAX",51,673,673,673,"Half2",18,4,1,0,10,30,6,1,0,1,0,"short","left",5,1,"0",7,22,15,2,3,1
"20567","OPP",45,629,629,629,"Half2",18,4,2,0,4,30,0,0,0,1,0,"short","left",8,-1,"0",7,22,15,2,3,1
"20568","OPP",45,625,625,625,"Half2",18,4,3,0,4,30,0,1,0,1,0,"short","left",5,-1,"0",7,22,15,2,3,1
"20572","OPP",87,581,581,581,"Half2",19,4,1,0,20,1,-4,1,0,1,0,"short","right",-6,2,"0",-7,22,15,2,3,0
"20573","OPP",91,534,534,534,"Half2",19,4,2,0,24,1,0,1,0,1,0,"deep","middle",40,-1,"0",-7,22,15,2,3,0
"20576","OPP",24,432,432,432,"Half2",20,4,3,0,10,24,15,1,0,1,0,"short","left",9,6,"0",7,22,15,2,3,1
"20578","OPP",8,383,383,383,"Half2",20,4,2,1,8,24,6,1,0,1,0,"short","middle",6,0,"0",7,22,15,2,3,1
"20581","OPP",8,262,262,262,"Half2",20,4,3,1,8,24,8,1,0,1,0,"short","right",8,0,"1",7,28,15,2,3,1
"20585","OPP",74,248,248,248,"Half2",21,4,1,0,15,15,3,1,0,1,0,"short","right",1,2,"0",-14,29,15,2,3,0
"20587","OPP",71,223,223,223,"Half2",21,4,2,0,12,15,17,1,0,1,0,"deep","middle",16,1,"0",-14,29,15,1,3,0
"20588","OPP",54,208,208,208,"Half2",21,4,1,0,10,15,0,1,0,1,0,"short","right",3,-1,"0",-14,29,15,1,3,0
"20589","OPP",54,204,204,204,"Half2",21,4,2,0,10,15,0,1,1,1,0,"short","right",12,-1,"0",-14,29,15,1,3,0
"20597","OPP",77,170,170,170,"Half2",23,4,1,0,10,4,0,1,0,1,0,"deep","left",24,-1,"0",-14,29,15,1,1,0
"20598","OPP",77,162,162,162,"Half2",23,4,2,0,10,4,-7,1,0,1,0,NA,NA,NA,-1,"0",-14,29,15,1,1,0
"20600","OPP",84,154,154,154,"Half2",23,4,3,0,17,4,11,1,0,1,0,"short","right",-1,12,"0",-14,29,15,1,0,0
"20601","OPP",73,147,147,147,"Half2",23,4,4,0,6,4,0,1,0,1,0,"deep","left",18,-1,"0",-14,29,15,1,0,0
"21664","OPP",81,896,1796,3596,"Half1",1,1,1,0,10,47,10,0,0,1,0,"short","left",10,0,"0",0,0,0,3,3,0
"21668","OPP",57,760,1660,3460,"Half1",1,1,2,0,8,47,9,1,0,1,0,"short","left",-1,10,"0",0,0,0,3,3,0
"21669","JAX",48,730,1630,3430,"Half1",1,1,1,0,10,47,0,0,0,1,0,"deep","left",32,-1,"0",0,0,0,3,3,0
"21670","JAX",48,723,1623,3423,"Half1",1,1,2,0,10,47,6,1,0,1,0,"short","middle",3,3,"0",0,0,0,3,3,0
"21675","OPP",61,609,1509,3309,"Half1",1,1,1,0,34,47,21,1,0,1,0,"deep","right",20,1,"0",0,0,0,3,2,0
"21676","JAX",40,571,1471,3271,"Half1",1,1,2,0,13,47,0,1,0,1,0,"short","right",15,-1,"0",0,0,0,3,2,0
"21678","JAX",45,548,1448,3248,"Half1",1,1,3,0,18,47,11,1,0,1,0,"short","left",-6,17,"0",0,0,0,3,2,0
"21681","JAX",81,495,1395,3195,"Half1",2,1,1,0,10,20,9,0,0,1,0,"short","right",8,1,"0",-3,0,3,3,2,1
"21682","JAX",72,459,1359,3159,"Half1",2,1,2,0,1,20,5,1,0,1,0,"short","middle",3,2,"0",-3,0,3,3,2,1
"21684","JAX",64,389,1289,3089,"Half1",2,1,2,0,7,20,3,1,0,1,0,"short","left",-3,6,"0",-3,0,3,3,2,1
"21685","JAX",61,342,1242,3042,"Half1",2,1,3,0,4,20,0,1,0,1,0,"short","left",1,-1,"0",-3,0,3,3,2,1
"21689","OPP",92,261,1161,2961,"Half1",3,1,3,0,8,20,11,1,0,1,0,"short","left",11,0,"0",3,0,3,3,2,0
"21692","OPP",74,163,1063,2863,"Half1",3,1,3,0,3,20,0,1,0,1,0,"short","right",4,-1,"0",3,0,3,3,2,0
"21694","JAX",72,147,1047,2847,"Half1",4,1,1,0,10,15,6,0,0,1,0,"short","left",6,0,"0",-3,0,3,3,2,1
"21696","JAX",59,66,966,2766,"Half1",4,1,1,0,10,15,0,1,0,1,0,"short","left",-6,6,"0",-3,0,3,3,2,1
"21700","JAX",64,900,900,2700,"Half1",4,2,3,0,15,15,7,1,0,1,0,"short","right",3,4,"0",-3,0,3,3,2,1
"21703","OPP",75,816,816,2616,"Half1",5,2,2,0,5,80,13,1,0,1,0,"short","middle",12,1,"0",3,0,3,3,2,0
"21706","OPP",55,706,706,2506,"Half1",5,2,3,0,3,80,8,1,0,1,0,"short","right",8,0,"0",3,0,3,3,2,0
"21710","JAX",39,562,562,2362,"Half1",5,2,4,0,2,80,12,1,0,1,0,"short","left",1,11,"0",3,0,3,3,2,0
"21715","JAX",1,358,358,2158,"Half1",5,2,1,1,1,80,1,1,0,1,0,"short","middle",0,1,"2",3,0,9,3,2,0
"21718","JAX",75,355,355,2155,"Half1",6,2,1,0,10,63,4,0,0,1,0,"short","right",1,3,"0",-9,0,9,3,2,1
"21719","JAX",71,318,318,2118,"Half1",6,2,2,0,6,63,0,1,0,1,0,"short","left",1,-1,"0",-9,0,9,3,2,1
